age,race,education,wage,Zip,1bed1bath,2bed1bath,mthly_income,res_hp_per_sqft,res_rent_per_sqft
36,1. White,3. College Grad,97.15827504,94941,2900,3500,11658.993,527.2727273,7.25
43,1. White,5. Advanced Degree,200.5432623,94105,3500,5000,24065.19148,636.3636364,8.75
51,1. White,4. Master's Deg,123.0896998,94941,2900,3500,14770.76398,527.2727273,7.25
35,2. Black,4. Master's Deg,99.6894637,94089,2800,3400,11962.73564,509.0909091,7
46,1. White,2. Some College,94.07271475,94089,2800,3400,11288.72577,509.0909091,7
38,1. White,4. Master's Deg,81.28325328,95008,2200,3700,9753.990394,400,5.5
43,3. Asian,4. Master's Deg,154.685293,94602,2600,3700,18562.23516,472.7272727,6.5
39,3. Asian,2. Some College,109.8339856,94089,2800,3400,13180.07827,509.0909091,7
37,3. Asian,3. College Grad,123.0896998,94105,3500,5000,14770.76398,636.3636364,8.75
59,3. Asian,5. Advanced Degree,73.77574327,94022,3100,4300,8853.089192,563.6363636,7.75
33,3. Asian,4. Master's Deg,107.9039239,94602,2600,3700,12948.47087,472.7272727,6.5
23,3. Asian,3. College Grad,73.77574327,94941,2900,3500,8853.089192,527.2727273,7.25
37,3. Asian,3. College Grad,87.98103279,94602,2600,3700,10557.72393,472.7272727,6.5
40,3. Asian,2. Some College,27.14057921,94602,2600,3700,3256.869505,472.7272727,6.5
25,3. Asian,3. College Grad,94.07271475,94022,3100,4300,11288.72577,563.6363636,7.75
27,3. Asian,4. Master's Deg,102.4535576,94941,2900,3500,12294.42691,527.2727273,7.25
47,1. White,1. PhD,272.2947832,95008,2200,3700,32675.37398,400,5.5
52,2. Black,4. Master's Deg,94.07271475,94602,2600,3700,11288.72577,472.7272727,6.5
23,1. White,2. Some College,81.28325328,94022,3100,4300,9753.990394,563.6363636,7.75
33,1. White,4. Master's Deg,87.98103279,95008,2200,3700,10557.72393,400,5.5
37,3. Asian,4. Master's Deg,109.8339856,94105,3500,5000,13180.07827,636.3636364,8.75
34,3. Asian,2. Some College,80.43020795,94022,3100,4300,9651.624954,563.6363636,7.75
51,3. Asian,2. Some College,148.4131591,94602,2600,3700,17809.57909,472.7272727,6.5
40,3. Asian,3. College Grad,148.4131591,94022,3100,4300,17809.57909,563.6363636,7.75
50,3. Asian,2. Some College,81.28325328,94941,2900,3500,9753.990394,527.2727273,7.25
64,3. Asian,3. College Grad,118.8843593,95008,2200,3700,14266.12312,400,5.5
54,3. Asian,2. Some College,80.48744436,94941,2900,3500,9658.493323,527.2727273,7.25
50,2. Black,2. Some College,91.69922611,94022,3100,4300,11003.90713,563.6363636,7.75
32,1. White,4. Master's Deg,109.3556264,94941,2900,3500,13122.67517,527.2727273,7.25
37,2. Black,4. Master's Deg,104.9215065,94105,3500,5000,12590.58078,636.3636364,8.75
19,3. Asian,2. Some College,65.11085372,94941,2900,3500,7813.302446,527.2727273,7.25
32,3. Asian,2. Some College,76.89360252,94602,2600,3700,9227.232302,472.7272727,6.5
42,3. Asian,3. College Grad,99.6894637,94089,2800,3400,11962.73564,509.0909091,7
26,3. Asian,3. College Grad,99.6894637,94089,2800,3400,11962.73564,509.0909091,7
46,3. Asian,5. Advanced Degree,157.7005277,94941,2900,3500,18924.06332,527.2727273,7.25
18,3. Asian,2. Some College,49.55533812,94924,2800,3800,5946.640574,509.0909091,7
43,3. Asian,2. Some College,90.48191336,94089,2800,3400,10857.8296,509.0909091,7
62,3. Asian,3. College Grad,111.7208494,95012,1900,2500,13406.50193,345.4545455,4.75
44,3. Asian,2. Some College,148.4131591,94924,2800,3800,17809.57909,509.0909091,7
40,3. Asian,3. College Grad,133.2323508,94022,3100,4300,15987.8821,563.6363636,7.75
43,3. Asian,2. Some College,134.7053751,94107,3250,4750,16164.64501,590.9090909,8.125
32,3. Asian,4. Master's Deg,118.8843593,94040,3600,4500,14266.12312,654.5454545,9
48,2. Black,2. Some College,87.98103279,94089,2800,3400,10557.72393,509.0909091,7
35,3. Asian,3. College Grad,109.8339856,94602,2600,3700,13180.07827,472.7272727,6.5
61,3. Asian,3. College Grad,130.9821774,94037,2000,3850,15717.86129,363.6363636,5
47,3. Asian,2. Some College,89.24288466,94107,3250,4750,10709.14616,590.9090909,8.125
55,3. Asian,2. Some College,102.8702469,94105,3500,5000,12344.42963,636.3636364,8.75
28,4. Other,2. Some College,76.89360252,95012,1900,2500,9227.232302,345.4545455,4.75
52,1. White,5. Advanced Degree,149.6950421,94924,2800,3800,17963.40505,509.0909091,7
27,2. Black,5. Advanced Degree,102.8702469,94089,2800,3400,12344.42963,509.0909091,7
22,2. Black,3. College Grad,90.48191336,94037,2000,3850,10857.8296,363.6363636,5
20,3. Asian,2. Some College,69.92912721,94924,2800,3800,8391.495265,509.0909091,7
42,3. Asian,2. Some College,106.9218141,94941,2900,3500,12830.61769,527.2727273,7.25
29,3. Asian,4. Master's Deg,87.98103279,94040,3600,4500,10557.72393,654.5454545,9
31,3. Asian,4. Master's Deg,109.8339856,95008,2200,3700,13180.07827,400,5.5
59,3. Asian,3. College Grad,151.5914842,95008,2200,3700,18190.9781,400,5.5
36,3. Asian,5. Advanced Degree,148.4131591,94107,3250,4750,17809.57909,590.9090909,8.125
32,3. Asian,2. Some College,66.96164432,94924,2800,3800,8035.397318,509.0909091,7
32,3. Asian,3. College Grad,103.9024706,94602,2600,3700,12468.29647,472.7272727,6.5
25,3. Asian,3. College Grad,99.6894637,95008,2200,3700,11962.73564,400,5.5
43,3. Asian,3. College Grad,134.7053751,95008,2200,3700,16164.64501,400,5.5
44,3. Asian,2. Some College,43.73511168,94107,3250,4750,5248.213402,590.9090909,8.125
57,3. Asian,3. College Grad,116.7071546,94107,3250,4750,14004.85855,590.9090909,8.125
49,2. Black,4. Master's Deg,141.7751723,94089,2800,3400,17013.02068,509.0909091,7
41,1. White,2. Some College,144.4780877,94602,2600,3700,17337.37052,472.7272727,6.5
38,1. White,4. Master's Deg,134.7053751,94107,3250,4750,16164.64501,590.9090909,8.125
58,1. White,2. Some College,118.8843593,94037,2000,3850,14266.12312,363.6363636,5
59,3. Asian,5. Advanced Degree,189.2441629,95008,2200,3700,22709.29955,400,5.5
39,1. White,5. Advanced Degree,160.6424754,94022,3100,4300,19277.09705,563.6363636,7.75
60,1. White,3. College Grad,96.03165702,94040,3600,4500,11523.79884,654.5454545,9
56,1. White,2. Some College,111.0651943,94602,2600,3700,13327.82332,472.7272727,6.5
44,1. White,3. College Grad,148.4131591,94107,3250,4750,17809.57909,590.9090909,8.125
70,2. Black,3. College Grad,99.6894637,94022,3100,4300,11962.73564,563.6363636,7.75
27,1. White,4. Master's Deg,81.28325328,95008,2200,3700,9753.990394,400,5.5
47,1. White,2. Some College,118.8843593,94107,3250,4750,14266.12312,590.9090909,8.125
41,1. White,3. College Grad,127.1157438,94941,2900,3500,15253.88926,527.2727273,7.25
29,1. White,3. College Grad,104.9215065,94040,3600,4500,12590.58078,654.5454545,9
42,1. White,2. Some College,112.6488963,94941,2900,3500,13517.86756,527.2727273,7.25
51,1. White,4. Master's Deg,281.7459706,94089,2800,3400,33809.51647,509.0909091,7
47,1. White,2. Some College,114.4775211,94941,2900,3500,13737.30253,527.2727273,7.25
48,2. Black,2. Some College,111.7208494,94107,3250,4750,13406.50193,590.9090909,8.125
39,1. White,2. Some College,134.7053751,94924,2800,3800,16164.64501,509.0909091,7
23,1. White,2. Some College,75.35567932,94924,2800,3800,9042.681518,509.0909091,7
31,1. White,3. College Grad,119.7408513,95012,1900,2500,14368.90216,345.4545455,4.75
59,1. White,2. Some College,118.8843593,94040,3600,4500,14266.12312,654.5454545,9
19,1. White,2. Some College,27.14057921,94924,2800,3800,3256.869505,509.0909091,7
42,1. White,5. Advanced Degree,182.020621,94105,3500,5000,21842.47452,636.3636364,8.75
35,3. Asian,2. Some College,65.11085372,94040,3600,4500,7813.302446,654.5454545,9
38,1. White,5. Advanced Degree,141.7751723,95008,2200,3700,17013.02068,400,5.5
45,1. White,3. College Grad,114.4757133,94602,2600,3700,13737.0856,472.7272727,6.5
58,1. White,5. Advanced Degree,135.5980598,94924,2800,3800,16271.76718,509.0909091,7
26,1. White,3. College Grad,117.1468169,94089,2800,3400,14057.61803,509.0909091,7
30,3. Asian,2. Some College,99.6894637,94105,3500,5000,11962.73564,636.3636364,8.75
54,1. White,1. PhD,277.7994802,94105,3500,5000,33335.93762,636.3636364,8.75
38,1. White,2. Some College,94.07271475,95012,1900,2500,11288.72577,345.4545455,4.75
44,3. Asian,2. Some College,94.07271475,94107,3250,4750,11288.72577,590.9090909,8.125
52,1. White,4. Master's Deg,96.37065283,94105,3500,5000,11564.47834,636.3636364,8.75
73,1. White,2. Some College,75.35567932,94107,3250,4750,9042.681518,590.9090909,8.125
65,1. White,5. Advanced Degree,104.9215065,95008,2200,3700,12590.58078,400,5.5
28,1. White,4. Master's Deg,95.23071257,94037,2000,3850,11427.68551,363.6363636,5
53,1. White,2. Some College,54.59815003,95012,1900,2500,6551.778004,345.4545455,4.75
53,1. White,3. College Grad,89.24288466,95008,2200,3700,10709.14616,400,5.5
52,1. White,4. Master's Deg,145.1436012,95008,2200,3700,17417.23214,400,5.5
27,1. White,2. Some College,96.86670324,94941,2900,3500,11624.00439,527.2727273,7.25
57,1. White,2. Some College,130.9821774,94941,2900,3500,15717.86129,527.2727273,7.25
32,1. White,4. Master's Deg,84.04595765,94022,3100,4300,10085.51492,563.6363636,7.75
51,1. White,2. Some College,148.1550467,94602,2600,3700,17778.6056,472.7272727,6.5
43,1. White,2. Some College,49.55533812,94105,3500,5000,5946.640574,636.3636364,8.75
50,1. White,3. College Grad,141.7751723,94941,2900,3500,17013.02068,527.2727273,7.25
53,1. White,3. College Grad,115.3750386,94105,3500,5000,13845.00463,636.3636364,8.75
54,3. Asian,2. Some College,65.11085372,94941,2900,3500,7813.302446,527.2727273,7.25
24,1. White,2. Some College,85.38394038,94941,2900,3500,10246.07285,527.2727273,7.25
40,1. White,2. Some College,101.8243521,94105,3500,5000,12218.92225,636.3636364,8.75
30,1. White,4. Master's Deg,95.23071257,94040,3600,4500,11427.68551,654.5454545,9
45,1. White,4. Master's Deg,99.6894637,94037,2000,3850,11962.73564,363.6363636,5
55,1. White,4. Master's Deg,147.1166892,94924,2800,3800,17654.0027,509.0909091,7
45,1. White,5. Advanced Degree,140.3982002,94941,2900,3500,16847.78402,527.2727273,7.25
44,2. Black,4. Master's Deg,109.8339856,94022,3100,4300,13180.07827,563.6363636,7.75
37,1. White,4. Master's Deg,127.1157438,94022,3100,4300,15253.88926,563.6363636,7.75
41,1. White,2. Some College,115.3750386,94107,3250,4750,13845.00463,590.9090909,8.125
44,1. White,2. Some College,59.09706408,94040,3600,4500,7091.64769,654.5454545,9
52,1. White,2. Some College,76.89360252,94924,2800,3800,9227.232302,509.0909091,7
55,1. White,4. Master's Deg,141.7751723,94941,2900,3500,17013.02068,527.2727273,7.25
43,1. White,2. Some College,70.90958587,94107,3250,4750,8509.150304,590.9090909,8.125
27,3. Asian,5. Advanced Degree,200.5432623,94089,2800,3400,24065.19148,509.0909091,7
43,1. White,2. Some College,97.49329405,94037,2000,3850,11699.19529,363.6363636,5
46,1. White,2. Some College,99.6894637,94040,3600,4500,11962.73564,654.5454545,9
30,1. White,3. College Grad,186.8766776,94037,2000,3850,22425.20131,363.6363636,5
43,1. White,2. Some College,81.28325328,94040,3600,4500,9753.990394,654.5454545,9
48,1. White,3. College Grad,160.6424754,94107,3250,4750,19277.09705,590.9090909,8.125
33,2. Black,2. Some College,63.96669083,94107,3250,4750,7676.0029,590.9090909,8.125
29,3. Asian,3. College Grad,87.98103279,94040,3600,4500,10557.72393,654.5454545,9
24,3. Asian,2. Some College,73.77574327,94037,2000,3850,8853.089192,363.6363636,5
52,3. Asian,3. College Grad,145.1436012,94941,2900,3500,17417.23214,527.2727273,7.25
50,3. Asian,5. Advanced Degree,141.7751723,94040,3600,4500,17013.02068,654.5454545,9
24,3. Asian,2. Some College,76.89360252,94941,2900,3500,9227.232302,527.2727273,7.25
42,3. Asian,3. College Grad,123.9085676,94107,3250,4750,14869.02811,590.9090909,8.125
53,3. Asian,4. Master's Deg,118.8843593,94924,2800,3800,14266.12312,509.0909091,7
49,3. Asian,1. PhD,279.197497,94037,2000,3850,33503.69964,363.6363636,5
46,3. Asian,2. Some College,54.59815003,94040,3600,4500,6551.778004,654.5454545,9
40,1. White,3. College Grad,154.685293,94040,3600,4500,18562.23516,654.5454545,9
41,3. Asian,5. Advanced Degree,180.0301971,94105,3500,5000,21603.62365,636.3636364,8.75
41,1. White,4. Master's Deg,118.8843593,94105,3500,5000,14266.12312,636.3636364,8.75
36,1. White,3. College Grad,87.98103279,94924,2800,3800,10557.72393,509.0909091,7
34,2. Black,3. College Grad,91.69922611,94105,3500,5000,11003.90713,636.3636364,8.75
24,1. White,3. College Grad,59.09706408,94037,2000,3850,7091.64769,363.6363636,5
44,1. White,4. Master's Deg,123.9085676,94941,2900,3500,14869.02811,527.2727273,7.25
33,2. Black,4. Master's Deg,109.8339856,94037,2000,3850,13180.07827,363.6363636,5
25,1. White,2. Some College,94.07271475,94941,2900,3500,11288.72577,527.2727273,7.25
40,1. White,2. Some College,117.1468169,94107,3250,4750,14057.61803,590.9090909,8.125
48,3. Asian,2. Some College,65.11085372,94924,2800,3800,7813.302446,509.0909091,7
56,3. Asian,2. Some College,97.49329405,95012,1900,2500,11699.19529,345.4545455,4.75
25,3. Asian,4. Master's Deg,118.0197533,94941,2900,3500,14162.3704,527.2727273,7.25
44,3. Asian,4. Master's Deg,141.7751723,94040,3600,4500,17013.02068,654.5454545,9
27,3. Asian,3. College Grad,116.1766952,94037,2000,3850,13941.20342,363.6363636,5
58,3. Asian,2. Some College,75.35567932,94924,2800,3800,9042.681518,509.0909091,7
52,2. Black,4. Master's Deg,95.23071257,94089,2800,3400,11427.68551,509.0909091,7
60,3. Asian,5. Advanced Degree,111.7208494,94924,2800,3800,13406.50193,509.0909091,7
39,3. Asian,3. College Grad,103.9024706,95008,2200,3700,12468.29647,400,5.5
51,3. Asian,4. Master's Deg,147.1166892,94941,2900,3500,17654.0027,527.2727273,7.25
31,3. Asian,3. College Grad,87.98103279,94941,2900,3500,10557.72393,527.2727273,7.25
45,3. Asian,2. Some College,118.8843593,94040,3600,4500,14266.12312,654.5454545,9
43,3. Asian,4. Master's Deg,100.7642728,94941,2900,3500,12091.71274,527.2727273,7.25
45,3. Asian,4. Master's Deg,120.5894365,94924,2800,3800,14470.73238,509.0909091,7
40,3. Asian,3. College Grad,193.8668781,94105,3500,5000,23264.02537,636.3636364,8.75
46,3. Asian,2. Some College,118.8843593,94040,3600,4500,14266.12312,654.5454545,9
51,3. Asian,5. Advanced Degree,267.9010869,94089,2800,3400,32148.13043,509.0909091,7
47,3. Asian,4. Master's Deg,174.402876,94022,3100,4300,20928.34512,563.6363636,7.75
52,3. Asian,5. Advanced Degree,133.9715001,94022,3100,4300,16076.58001,563.6363636,7.75
31,3. Asian,2. Some College,154.685293,94037,2000,3850,18562.23516,363.6363636,5
40,2. Black,4. Master's Deg,154.685293,94037,2000,3850,18562.23516,363.6363636,5
26,1. White,4. Master's Deg,118.8843593,94602,2600,3700,14266.12312,472.7272727,6.5
49,1. White,2. Some College,95.23071257,94941,2900,3500,11427.68551,527.2727273,7.25
38,1. White,3. College Grad,109.8339856,94107,3250,4750,13180.07827,590.9090909,8.125
50,4. Other,2. Some College,111.7208494,94105,3500,5000,13406.50193,636.3636364,8.75
63,1. White,3. College Grad,134.7053751,94107,3250,4750,16164.64501,590.9090909,8.125
35,1. White,2. Some College,85.90104432,95012,1900,2500,10308.12532,345.4545455,4.75
29,1. White,2. Some College,118.8843593,95008,2200,3700,14266.12312,400,5.5
33,1. White,2. Some College,87.98103279,94107,3250,4750,10557.72393,590.9090909,8.125
29,1. White,2. Some College,92.89584479,95012,1900,2500,11147.50137,345.4545455,4.75
62,1. White,4. Master's Deg,109.8339856,94022,3100,4300,13180.07827,563.6363636,7.75
45,1. White,5. Advanced Degree,124.7204462,94089,2800,3400,14966.45354,509.0909091,7
56,1. White,2. Some College,127.901233,95012,1900,2500,15348.14796,345.4545455,4.75
58,1. White,2. Some College,97.49329405,94924,2800,3800,11699.19529,509.0909091,7
39,1. White,5. Advanced Degree,198.3502905,94941,2900,3500,23802.03486,527.2727273,7.25
49,1. White,3. College Grad,92.89584479,94924,2800,3800,11147.50137,509.0909091,7
24,1. White,4. Master's Deg,94.07271475,95008,2200,3700,11288.72577,400,5.5
61,1. White,2. Some College,148.4131591,94040,3600,4500,17809.57909,654.5454545,9
58,1. White,4. Master's Deg,79.85490031,94040,3600,4500,9582.588037,654.5454545,9
47,3. Asian,3. College Grad,118.8843593,95008,2200,3700,14266.12312,400,5.5
41,1. White,4. Master's Deg,87.98103279,94022,3100,4300,10557.72393,563.6363636,7.75
71,1. White,2. Some College,94.07271475,94037,2000,3850,11288.72577,363.6363636,5
47,1. White,3. College Grad,150.0704769,94941,2900,3500,18008.45723,527.2727273,7.25
38,1. White,4. Master's Deg,176.9896505,94924,2800,3800,21238.75806,509.0909091,7
31,1. White,4. Master's Deg,73.77574327,94040,3600,4500,8853.089192,654.5454545,9
56,3. Asian,4. Master's Deg,125.1238157,94022,3100,4300,15014.85788,563.6363636,7.75
44,3. Asian,4. Master's Deg,277.7994802,94602,2600,3700,33335.93762,472.7272727,6.5
33,3. Asian,4. Master's Deg,107.9039239,94089,2800,3400,12948.47087,509.0909091,7
36,3. Asian,4. Master's Deg,60.73977852,94924,2800,3800,7288.773422,509.0909091,7
31,3. Asian,4. Master's Deg,92.0363233,94105,3500,5000,11044.3588,636.3636364,8.75
55,3. Asian,3. College Grad,109.8339856,95008,2200,3700,13180.07827,400,5.5
48,3. Asian,4. Master's Deg,66.96164432,95008,2200,3700,8035.397318,400,5.5
50,3. Asian,3. College Grad,114.4757133,94037,2000,3850,13737.0856,363.6363636,5
42,3. Asian,4. Master's Deg,170.6951277,94941,2900,3500,20483.41532,527.2727273,7.25
25,3. Asian,3. College Grad,130.9821774,94602,2600,3700,15717.86129,472.7272727,6.5
55,3. Asian,2. Some College,127.1157438,94941,2900,3500,15253.88926,527.2727273,7.25
28,3. Asian,5. Advanced Degree,117.1468169,95012,1900,2500,14057.61803,345.4545455,4.75
30,4. Other,2. Some College,123.0896998,95008,2200,3700,14770.76398,400,5.5
46,2. Black,4. Master's Deg,120.5894365,94040,3600,4500,14470.73238,654.5454545,9
48,1. White,5. Advanced Degree,130.9821774,94941,2900,3500,15717.86129,527.2727273,7.25
42,1. White,3. College Grad,81.28325328,94107,3250,4750,9753.990394,590.9090909,8.125
23,1. White,4. Master's Deg,36.6737042,94941,2900,3500,4400.844504,527.2727273,7.25
60,1. White,5. Advanced Degree,104.9215065,94941,2900,3500,12590.58078,527.2727273,7.25
34,2. Black,2. Some College,74.41296351,94022,3100,4300,8929.555621,563.6363636,7.75
45,3. Asian,4. Master's Deg,129.0678205,94924,2800,3800,15488.13846,509.0909091,7
28,3. Asian,3. College Grad,84.10001012,94924,2800,3800,10092.00121,509.0909091,7
33,3. Asian,1. PhD,185.9186629,94022,3100,4300,22310.23955,563.6363636,7.75
58,3. Asian,2. Some College,105.9278108,94105,3500,5000,12711.3373,636.3636364,8.75
47,3. Asian,5. Advanced Degree,163.515864,94089,2800,3400,19621.90368,509.0909091,7
24,3. Asian,3. College Grad,63.188861,94107,3250,4750,7582.66332,590.9090909,8.125
56,3. Asian,4. Master's Deg,134.7053751,94107,3250,4750,16164.64501,590.9090909,8.125
56,3. Asian,4. Master's Deg,120.9267015,94107,3250,4750,14511.20418,590.9090909,8.125
23,4. Other,4. Master's Deg,94.07271475,94105,3500,5000,11288.72577,636.3636364,8.75
56,1. White,5. Advanced Degree,132.4878211,94037,2000,3850,15898.53853,363.6363636,5
45,1. White,4. Master's Deg,133.2323508,94089,2800,3400,15987.8821,509.0909091,7
58,1. White,3. College Grad,145.1436012,94602,2600,3700,17417.23214,472.7272727,6.5
30,3. Asian,5. Advanced Degree,118.8843593,95008,2200,3700,14266.12312,400,5.5
46,1. White,5. Advanced Degree,150.3306535,94040,3600,4500,18039.67842,654.5454545,9
48,1. White,1. PhD,278.9644667,94941,2900,3500,33475.736,527.2727273,7.25
50,1. White,2. Some College,98.26923081,94040,3600,4500,11792.3077,654.5454545,9
43,1. White,4. Master's Deg,99.6894637,94105,3500,5000,11962.73564,636.3636364,8.75
37,1. White,2. Some College,94.07271475,94924,2800,3800,11288.72577,509.0909091,7
49,1. White,3. College Grad,176.9896505,94089,2800,3400,21238.75806,509.0909091,7
31,3. Asian,4. Master's Deg,166.3249412,94602,2600,3700,19958.99294,472.7272727,6.5
54,3. Asian,2. Some College,94.07271475,94924,2800,3800,11288.72577,509.0909091,7
52,1. White,4. Master's Deg,139.7030715,94089,2800,3400,16764.36858,509.0909091,7
70,1. White,2. Some College,78.3924668,94107,3250,4750,9407.096016,590.9090909,8.125
30,1. White,5. Advanced Degree,141.7758565,94022,3100,4300,17013.10278,563.6363636,7.75
44,1. White,2. Some College,116.2653241,94924,2800,3800,13951.83889,509.0909091,7
34,3. Asian,4. Master's Deg,148.4131591,94105,3500,5000,17809.57909,636.3636364,8.75
38,3. Asian,2. Some College,87.98103279,94107,3250,4750,10557.72393,590.9090909,8.125
28,3. Asian,2. Some College,90.48191336,94040,3600,4500,10857.8296,654.5454545,9
38,3. Asian,3. College Grad,141.7751723,94040,3600,4500,17013.02068,654.5454545,9
39,3. Asian,2. Some College,63.09271673,94107,3250,4750,7571.126008,590.9090909,8.125
52,3. Asian,4. Master's Deg,65.11085372,94089,2800,3400,7813.302446,509.0909091,7
34,3. Asian,4. Master's Deg,151.5914842,94941,2900,3500,18190.9781,527.2727273,7.25
33,3. Asian,4. Master's Deg,123.0896998,94022,3100,4300,14770.76398,563.6363636,7.75
45,3. Asian,4. Master's Deg,118.8843593,94040,3600,4500,14266.12312,654.5454545,9
58,3. Asian,2. Some College,79.85490031,95012,1900,2500,9582.588037,345.4545455,4.75
38,3. Asian,2. Some College,104.0049599,94107,3250,4750,12480.59519,590.9090909,8.125
63,3. Asian,4. Master's Deg,55.53610442,94107,3250,4750,6664.33253,590.9090909,8.125
38,3. Asian,5. Advanced Degree,99.6894637,94105,3500,5000,11962.73564,636.3636364,8.75
31,3. Asian,3. College Grad,99.6894637,94941,2900,3500,11962.73564,527.2727273,7.25
53,1. White,4. Master's Deg,193.4526069,94022,3100,4300,23214.31283,563.6363636,7.75
21,2. Black,2. Some College,102.8702469,95008,2200,3700,12344.42963,400,5.5
38,1. White,4. Master's Deg,164.6469889,94602,2600,3700,19757.63867,472.7272727,6.5
18,1. White,2. Some College,69.6190369,94941,2900,3500,8354.284428,527.2727273,7.25
28,1. White,3. College Grad,99.6894637,94040,3600,4500,11962.73564,654.5454545,9
33,1. White,4. Master's Deg,114.4757133,94089,2800,3400,13737.0856,509.0909091,7
32,1. White,3. College Grad,99.6894637,94107,3250,4750,11962.73564,590.9090909,8.125
29,1. White,2. Some College,95.23071257,94602,2600,3700,11427.68551,472.7272727,6.5
28,1. White,2. Some College,82.6796373,95012,1900,2500,9921.556476,345.4545455,4.75
42,1. White,5. Advanced Degree,116.9430813,94105,3500,5000,14033.16976,636.3636364,8.75
28,1. White,2. Some College,54.59815003,94602,2600,3700,6551.778004,472.7272727,6.5
36,1. White,5. Advanced Degree,138.2991269,94037,2000,3850,16595.89523,363.6363636,5
47,1. White,2. Some College,130.9821774,94022,3100,4300,15717.86129,563.6363636,7.75
53,1. White,5. Advanced Degree,281.7459706,94105,3500,5000,33809.51647,636.3636364,8.75
48,1. White,5. Advanced Degree,163.515864,94022,3100,4300,19621.90368,563.6363636,7.75
36,1. White,5. Advanced Degree,179.214858,94941,2900,3500,21505.78296,527.2727273,7.25
55,1. White,3. College Grad,126.3238807,94022,3100,4300,15158.86568,563.6363636,7.75
37,1. White,2. Some College,70.47601965,94040,3600,4500,8457.122358,654.5454545,9
68,1. White,4. Master's Deg,118.0197533,94022,3100,4300,14162.3704,563.6363636,7.75
65,4. Other,2. Some College,71.31963879,94941,2900,3500,8558.356655,527.2727273,7.25
37,1. White,4. Master's Deg,114.4757133,94941,2900,3500,13737.0856,527.2727273,7.25
33,1. White,4. Master's Deg,138.2991269,95008,2200,3700,16595.89523,400,5.5
19,1. White,2. Some College,54.59815003,94022,3100,4300,6551.778004,563.6363636,7.75
50,1. White,4. Master's Deg,94.07271475,95008,2200,3700,11288.72577,400,5.5
22,1. White,3. College Grad,80.43020795,94941,2900,3500,9651.624954,527.2727273,7.25
40,1. White,3. College Grad,89.24288466,94941,2900,3500,10709.14616,527.2727273,7.25
45,1. White,3. College Grad,117.1468169,94107,3250,4750,14057.61803,590.9090909,8.125
36,1. White,5. Advanced Degree,127.1157438,94941,2900,3500,15253.88926,527.2727273,7.25
37,3. Asian,2. Some College,81.28325328,95012,1900,2500,9753.990394,345.4545455,4.75
24,1. White,2. Some College,52.40706405,95012,1900,2500,6288.847686,345.4545455,4.75
66,2. Black,2. Some College,99.6894637,94022,3100,4300,11962.73564,563.6363636,7.75
35,3. Asian,2. Some College,63.188861,95012,1900,2500,7582.66332,345.4545455,4.75
33,1. White,4. Master's Deg,196.1252726,94941,2900,3500,23535.03271,527.2727273,7.25
44,1. White,3. College Grad,101.8243521,94040,3600,4500,12218.92225,654.5454545,9
48,1. White,3. College Grad,107.9039239,94089,2800,3400,12948.47087,509.0909091,7
47,1. White,2. Some College,51.23965492,94022,3100,4300,6148.75859,563.6363636,7.75
41,1. White,3. College Grad,99.6894637,94107,3250,4750,11962.73564,590.9090909,8.125
55,1. White,4. Master's Deg,63.188861,94022,3100,4300,7582.66332,563.6363636,7.75
74,2. Black,5. Advanced Degree,148.4131591,94037,2000,3850,17809.57909,363.6363636,5
33,1. White,4. Master's Deg,99.6894637,94602,2600,3700,11962.73564,472.7272727,6.5
62,1. White,5. Advanced Degree,130.9821774,95008,2200,3700,15717.86129,400,5.5
56,1. White,2. Some College,101.8243521,94107,3250,4750,12218.92225,590.9090909,8.125
29,1. White,5. Advanced Degree,99.6894637,94105,3500,5000,11962.73564,636.3636364,8.75
56,2. Black,2. Some College,79.85490031,94105,3500,5000,9582.588037,636.3636364,8.75
47,2. Black,5. Advanced Degree,160.6424754,94022,3100,4300,19277.09705,563.6363636,7.75
45,1. White,2. Some College,134.7053751,95008,2200,3700,16164.64501,400,5.5
44,1. White,4. Master's Deg,160.6424754,94941,2900,3500,19277.09705,527.2727273,7.25
25,1. White,4. Master's Deg,91.69922611,94602,2600,3700,11003.90713,472.7272727,6.5
45,2. Black,3. College Grad,75.35567932,94022,3100,4300,9042.681518,563.6363636,7.75
40,1. White,4. Master's Deg,136.1577108,94602,2600,3700,16338.9253,472.7272727,6.5
56,1. White,2. Some College,134.7053751,95008,2200,3700,16164.64501,400,5.5
56,3. Asian,3. College Grad,81.98531783,94089,2800,3400,9838.23814,509.0909091,7
47,3. Asian,4. Master's Deg,176.9896505,94924,2800,3800,21238.75806,509.0909091,7
39,1. White,2. Some College,118.8860804,95012,1900,2500,14266.32965,345.4545455,4.75
38,1. White,3. College Grad,121.2627457,95008,2200,3700,14551.52948,400,5.5
48,1. White,2. Some College,94.07271475,94924,2800,3800,11288.72577,509.0909091,7
44,2. Black,2. Some College,99.6894637,94941,2900,3500,11962.73564,527.2727273,7.25
42,1. White,5. Advanced Degree,123.9085676,94037,2000,3850,14869.02811,363.6363636,5
55,1. White,2. Some College,118.8843593,94040,3600,4500,14266.12312,654.5454545,9
61,1. White,5. Advanced Degree,82.6796373,95012,1900,2500,9921.556476,345.4545455,4.75
39,1. White,2. Some College,81.28325328,94941,2900,3500,9753.990394,527.2727273,7.25
